food_name,food_category,food_description
야채김밥,김밥,"김에 밥과 당근, 오이, 우엉, 시금치, 단무지 같은 다양한 야채를 넣어서 만든 간단한 김밥"
치즈김밥,김밥,"김에 밥과 치즈, 계란, 당근, 오이, 햄 등을 넣어서 만든 간단한 김밥"
소고기김밥,김밥,"김에 밥과 소고기, 단무지, 오이, 당근 같은 야채 등을 넣어서 만든 한국의 대표적인 김밥"
매콤오징어김밥,김밥,"매콤한 양념으로 볶은 오징어와 오이, 당근, 단무지, 상추 같은 다양한 야채를 김에 싸서 만든 한국의 대표적인 매운 김밥"
매콤땡초김밥,김밥,"김에 잘게 다진 매콤한 땡초와 당근, 간장 양념과 비빈 밥과 햄 등을 넣어서 만든 한국의 대표적인 매운 김밥"
참치마요김밥,김밥,"김에 밥을 올리고 참치와 마요네즈를 함께 섞은 참치마요, 깻잎, 단무지 등과 싸서 만든 김밥"
참치와사비김밥,김밥,"김에 밥을 올리고 참치와 마요네즈, 와사비를 섞어 깻잎, 단무지 등과 싸서 만든 김밥"
새우날치알김밥,김밥,"새우와 날치알을 함께 넣어서 밥과 오이, 당근 등을 김으로 싸서 만든 바다의 맛이 어우러진 김밥"
어린이김밥,김밥,"어린이들이 좋아하는 재료인 햄, 치즈, 계란, 오이 등을 사용하여 밥과 김으로 싸서 만든 아이들 간식용으로 인기 있는 김밥"
된장찌개,찌개,"된장과 양파, 애호박, 돼지고기 등을 넣어서 끓여낸, 고소하고 짭짤한 맛이 특징인 한국의 대표적인 찌개"
돼지김치찌개,찌개,"돼지고기와 김치, 양파, 두부 등을 함께 넣어서 만든, 매운 맛과 돼지고기의 고소한 맛이 일품인 한국의 대표적인 찌개"
순두부찌개,찌개,"부드러운 순두부와 양파, 애호박, 대파 같은 야채, 돼지고기 등을 넣어서 만든, 부드럽고 고소한 맛이 특징인 한국의 대표적인 찌개"
참치김치찌개,찌개,"참치와 김치를 함께 넣어서 만든, 참치의 짭짤한 맛과 김치의 매운 맛이 어우러져 고소하고 매콤한 맛이 일품인 한국의 대표적인 찌개"
고등어김치찌개,찌개,"고등어와 김치를 함께 넣어서 만든, 고등어의 짭짤한 맛과 김치의 매운 맛이 어우러져 고소하고 매콤한 맛이 일품인 한국의 대표적인 찌개"
꽁치김치찌개,찌개,"꽁치와 김치를 함께 넣어서 만든, 꽁치의 짭짤한 맛과 김치의 매운 맛이 어우러져 고소하고 매콤한 맛이 일품인 한국의 대표적인 찌개"
육개장,국,"소고기와 양파, 대파, 고사리, 무, 버섯 등의 야채를 넣고 매운 국물로 끓여 만든, 한국 전통 음식 중 하나로, 매콤하면서도 깔끔한 맛이 특징인 국"
뚝배기불고기,국,"간장 양념에 재운 소고기를 뚝배기에 넣어 버섯과 육수, 당면과 함께 익힌 한국의 대표적인 음식"
김치볶음밥,밥,"밥에 김치, 햄, 양파 등의 야채를 넣고 볶아서 만든, 매콤하면서도 고소한 맛이 일품인 한국의 대표적인 볶음밥"
카레덮밥,밥,"돼지고기와 양파, 당근, 감자 같은 야채 등을 카레 소스와 함께 볶아서 밥 위에 올려 만든 일본 요리 중 하나로, 달콤하고 향신로운 맛이 특징인 덮밥"
제육덮밥,밥,돼지고기를 고추장 양념하여 볶은 후 밥 위에 올려 만든 살짝 매콤하면서도 고소한 맛이 특징인 한국의 대표적인 덮밥
참치볶음밥,밥,"참치와 양파, 당근, 대파 같은 야채를 볶아서 만든 간편하면서도 맛있는 볶음밥"
햄야채볶음밥,밥,"햄과 당근, 양파 같은 야채를 밥과 함께 볶아내어 맛을 내는 볶음밥"
새우볶음밥,밥,"새우와 당근, 양파, 대파 같은 야채를 밥과 함께 볶아내어 짭짤하고 고소한 맛을 느낄 수 있는 볶음밥"
새우날치알볶음밥,밥,"새우, 날치알과 양파, 당근, 대파 같은 야채 등을 밥과 함께 볶아내어 간장 등으로 간을 맞춘 볶음밥"
오므라이스,밥,"당근, 양파, 애호박 같은 야채와 소시지 등을 넣고 볶은 밥을 계란으로 감싸 토마토 소스와 함께 제공되는 밥 요리"
라면,면,면과 스프를 넣고 끓인 인기 있는 한국의 인스턴트 면 음식
콩나물라면,면,라면에 콩나물을 추가하여 더욱 건강하고 맛있게 즐길 수 있는 면 음식
떡라면,면,라면에 떡을 추가하여 더욱 쫄깃한 식감을 느낄 수 있는 면 음식
치즈라면,면,라면 위에 치즈를 녹여 부드럽고 짭짤한 맛이 일품인 면 음식
만두라면,면,라면에 만두를 넣고 끓인 면 음식
국물떡볶이,분식,"떡과 어묵, 양파, 대파, 양배추 등을 고추장 양념 국물에 끓인 매콤한 음식"
국물라볶이,분식,"떡과 라면, 양파, 대파, 양배추 등을 넣고 고추장 양념으로 조리한 매콤한 음식"
부산오뎅,분식,해물을 주 재료로 사용하여 만든 오뎅을 고추장 양념 속에 넣고 끓인 국물 요리
부산생생우동,면,"두툼하고 탱글탱글한 면발이 특징이며 간장과 덴부로 된 다시육수를 기반으로 만들어지는 일본의 전통적인 면 요리 중 하나로, 국물과 함께 먹는 면 요리"
고기만두,분식,돼지고기와 양파 등을 넣어 만든 국내에서 대표적인 만두
김치만두,분식,"김치와 돼지고기 등을 넣어 만든 만두로, 국내에서 가장 사랑받는 분식"
물만두,분식,찹쌀가루로 만든 밀가루 반죽에 고기와 야채 등을 넣고 끓는 물에 삶아 만든 만두
야채비빔밥,밥,"밥 위에 고기와 당근, 애호박, 고사리, 시금치, 콩나물 같은 야채, 계란 등을 올려 고추장 베이스의 양념과 함께 비벼먹는 전통 한식 비빔밥"
만두국,국,고기와 야채 등이 들어간 만두를 국물에 끓여 만든 한국식 국
떡만두국,국,떡과 고기와 야채 등이 들어간 만두를 함께 국물에 끓여 먹는 한국의 전통적인 국
후레쉬쫄면,면,"물과 전분으로 만든 면발과 고추장 베이스의 양념장, 콩나물, 오이 등을 섞어 쫄깃하고 탱글탱글한 맛과 식감이 특징적인 전통적인 한국식 면"
등심돈까스,튀김,"부드러운 고기맛이 특징인 돼지고기의 등심 부위를 잘라 소금과 후추를 뿌려 양념한 후 밀가루, 계란물, 빵가루를 차례로 입히고 튀겨서 만든 돈까스"
치즈돈까스,튀김,"치즈의 짭짤한 맛과 돈까스의 고소한 맛이 조화를 이루며 일반적인 돈까스와 비슷하게 잘라낸 고기 조각에 소금과 후추로 양념한 후 고기 조각 안에 치즈를 넣고 밀가루, 계란물, 빵가루를 차례로 입혀 튀긴 돈까스"
수제왕돈까스,튀김,"육즙이 풍부하고 부드러운 고기맛이 특징이며 소금과 후추를 뿌려 양념한 고기 조각을 밀가루, 계란물, 빵가루를 입혀 튀긴 식당에서 직접 만든 두껍고 큰 돈까스"